,System Physical Address,,Local Chiplet Interpretation,,,,,Quasar NOC & SMN,,Is this used in Package?,,PCIE TLB setting for EP (Q1.S7),,Comment
,Start Address,Size,Endpoint ID,Chiplet,Tile ID,Space,Chiplet Local Address,NOC Mask ID,SMN Mask ID,Q1.S7,Q1.A1,PCIE TLB,Entry ID,Description
,0x0_0012_8580_0000,4MB,86,Mimir[11],0,CCE,0x0_0000_4000_0000,2,2,,,,,
,0x0_0012_85C0_0000,4MB,87,Mimir[11],1,CCE,0x0_0000_4040_0000,2,2,,,,,
,0x0_0012_8600_0000,4MB,88,Mimir[12],0,CCE,0x0_0000_4000_0000,2,2,,,,,
,0x0_0012_8640_0000,4MB,89,Mimir[12],1,CCE,0x0_0000_4040_0000,2,2,,,,,
,0x0_0012_8680_0000,4MB,90,Mimir[13],0,CCE,0x0_0000_4000_0000,2,2,,,,,
,0x0_0012_86C0_0000,4MB,91,Mimir[13],1,CCE,0x0_0000_4040_0000,2,2,,,,,
,0x0_0012_8700_0000,4MB,92,Mimir[14],0,CCE,0x0_0000_4000_0000,2,2,,,,,
,0x0_0012_8740_0000,4MB,93,Mimir[14],1,CCE,0x0_0000_4040_0000,2,2,,,,,
,0x0_0012_8780_0000,4MB,94,Mimir[15],0,CCE,0x0_0000_4000_0000,2,2,,,,,
,0x0_0012_87C0_0000,4MB,95,Mimir[15],1,CCE,0x0_0000_4040_0000,2,2,,,,,
Mimir Config Space,0x0_0013_0000_0000,128MB,96,Mimir[0],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),100-107,
,0x0_0013_0800_0000,128MB,97,Mimir[1],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),108-115,
,0x0_0013_1000_0000,128MB,98,Mimir[2],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),116-123,
,0x0_0013_1800_0000,128MB,99,Mimir[3],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),124-131,
,0x0_0013_2000_0000,128MB,100,Mimir[4],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),132-139,
,0x0_0013_2800_0000,128MB,101,Mimir[5],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),140-147,
,0x0_0013_3000_0000,128MB,102,Mimir[6],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),148-155,
,0x0_0013_3800_0000,128MB,103,Mimir[7],0,Config,0x0_0000_0000_0000,3,3,Yes,Yes,TLBApp0 (BAR0),156-163,
,0x0_0013_4000_0000,128MB,104,Mimir[8],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_4800_0000,128MB,105,Mimir[9],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_5000_0000,128MB,106,Mimir[10],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_5800_0000,128MB,107,Mimir[11],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_6000_0000,128MB,108,Mimir[12],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_6800_0000,128MB,109,Mimir[13],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_7000_0000,128MB,110,Mimir[14],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_7800_0000,128MB,111,Mimir[15],0,Config,0x0_0000_0000_0000,3,3,,,,,
,0x0_0013_8000_0000,128MB,112,Mimir[0],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_8800_0000,128MB,113,Mimir[1],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_9000_0000,128MB,114,Mimir[2],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_9800_0000,128MB,115,Mimir[3],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_A000_0000,128MB,116,Mimir[4],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_A800_0000,128MB,117,Mimir[5],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_B000_0000,128MB,118,Mimir[6],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_B800_0000,128MB,119,Mimir[7],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_C000_0000,128MB,120,Mimir[8],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_C800_0000,128MB,121,Mimir[9],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_D000_0000,128MB,122,Mimir[10],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_D800_0000,128MB,123,Mimir[11],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_E000_0000,128MB,124,Mimir[12],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_E800_0000,128MB,125,Mimir[13],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_F000_0000,128MB,126,Mimir[14],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
,0x0_0013_F800_0000,128MB,127,Mimir[15],1,Config,0x0_0000_0000_0000,3,3,,,,,Unused although there are map
Quasar Config Space,0x0_0018_0000_0000,256MB,256,Quasar[0],0,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_1000_0000,256MB,257,Quasar[0],1,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_2000_0000,256MB,258,Quasar[0],2,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_3000_0000,256MB,259,Quasar[0],3,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_4000_0000,256MB,260,Quasar[0],4,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_5000_0000,256MB,261,Quasar[0],5,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_6000_0000,256MB,262,Quasar[0],6,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_7000_0000,256MB,263,Quasar[0],7,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_8000_0000,256MB,264,Quasar[0],8,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_9000_0000,256MB,265,Quasar[0],9,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_A000_0000,256MB,266,Quasar[0],10,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_B000_0000,256MB,267,Quasar[0],11,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_C000_0000,256MB,268,Quasar[0],12,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_D000_0000,256MB,269,Quasar[0],13,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_E000_0000,256MB,270,Quasar[0],14,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0018_F000_0000,256MB,271,Quasar[0],15,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_0000_0000,256MB,272,Quasar[0],16,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_1000_0000,256MB,273,Quasar[0],17,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_2000_0000,256MB,274,Quasar[0],18,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_3000_0000,256MB,275,Quasar[0],19,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_4000_0000,256MB,276,Quasar[0],20,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_5000_0000,256MB,277,Quasar[0],21,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_6000_0000,256MB,278,Quasar[0],22,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_7000_0000,256MB,279,Quasar[0],23,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_8000_0000,256MB,280,Quasar[0],24,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_9000_0000,256MB,281,Quasar[0],25,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_A000_0000,256MB,282,Quasar[0],26,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_B000_0000,256MB,283,Quasar[0],27,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_C000_0000,256MB,284,Quasar[0],28,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_D000_0000,256MB,285,Quasar[0],29,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_E000_0000,256MB,286,Quasar[0],30,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_0019_F000_0000,256MB,287,Quasar[0],31,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_0000_0000,256MB,288,Quasar[0],32,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_1000_0000,256MB,289,Quasar[0],33,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_2000_0000,256MB,290,Quasar[0],34,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_3000_0000,256MB,291,Quasar[0],35,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_4000_0000,256MB,292,Quasar[0],36,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_5000_0000,256MB,293,Quasar[0],37,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_6000_0000,256MB,294,Quasar[0],38,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_7000_0000,256MB,295,Quasar[0],39,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
,0x0_001A_8000_0000,256MB,296,Quasar[0],40,Config,0x0_0000_0000_0000,14,14,Yes,Yes,TLB Bypass (BAR4),,"Quasar SMU, D2D, etc… (up to 1GB space is expected)"
